"Years","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Violent crimes","1208030","1344520","1361820","1322390","1258087","1273282","1327767","1489169","1483999","1566221","1646037","1820127","1911767","1932274","1926017","1857670","1798792","1688540","1636099","1533887","1426044","1425486","1439480","1423677","1383676","1360088","1390745","1435123","1422970","1394461","1325896","1251248","1206031","1217057","1168298","1153022","1199310","1285606","1283875","1252399","1250393","1313105"
"    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Northeast","289193","323456","337715","315941","295723","289883","297369","314753","319482","344316","360293","384497","383413","373913","366162","340312","314233","292259","276720","258838","242562","237657","231126","225965","218746","213409","215441","218999","206033","204951","198722","198333","196989","195891","191037","182139","180474","178406","171696","164441","164411","172219"
"        Midwest","268608","289750","285677","273082","265488","270835","273060","304014","300237","306106","317757","354392","380051","368675","369213","367912","363105","333618","329304","311280","278564","275106","279218","274308","261388","257807","272526","281115","279201","269757","259451","244866","235138","239436","237138","232437","242893","258949","258578","249802","250007","264915"
"        South","378025","424727","433202","438904","412954","424348","456998","516005","509260","548062","577320","654784","693615","713565","717267","691481","677702","657973","642707","605776","579082","582887","593711","589769","574277","573753","583798","601429","607546","599467","562140","518808","498306","497113","490913","491498","509043","528273","524545","507232","511209","546535"
"        West","271827","306120","304645","293969","283486","287728","301330","354397","355020","367737","390667","426454","454688","476121","473375","457965","443752","404690","387365","357993","325836","329836","335425","333635","329265","315119","318980","333580","330190","320286","305583","289241","275598","284627","280596","280111","302444","319978","329056","330924","324766","329436"
"    By offense",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Homicide","21460","23040","22520","21010","19308","18692","18976","20613","20096","20675","21500","23438","24703","23760","24526","23326","21606","19645","18211","16974","15522","15586","16037","16229","16528","16148","16740","17309","17128","16465","15399","14722","14661","14856","14319","14164","15883","17413","17294","16374","16669","21570"
"        Robbery","480700","565840","592910","553130","506567","485008","497874","542775","517704","542968","578326","639271","687732","672478","659870","618949","580509","535594","498534","447186","409371","408016","423557","420806","414235","401470","417438","449246","447324","443563","408742","369089","354772","355051","345093","322905","328109","332797","320596","281278","268483","243600"
"        Aggravated assault","629480","672650","663900","669480","653294","685349","723246","834322","855088","910092","951707","1054863","1092739","1126974","1135607","1113179","1099207","1037049","1023201","976583","911740","911706","909023","891407","859030","847381","862220","874096","866358","843683","812514","781844","752423","762009","726777","731089","764057","802982","810319","810982","822017","921505"
"        Rape, legacy","76390","82990","82500","78770","78918","84233","87671","91459","91111","92486","94504","102555","106593","109062","106014","102216","97470","96252","96153","93144","89411","90178","90863","95235","93883","95089","94347","94472","92160","90750","89241","85593","84175","85141","82109","84864","91261","96970",,,,
"        Rape, revised ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113695","118027","126134","132414","135666","143765","143224","126430"
"    By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Alabama","15578","17320","18423","17653","16471","17204","18398","22616","22833","23052","24329","28630","34518","36052","32676","28844","26894","24159","24379","22286","21421","21620","19582","19931","19331","19324","19678","19553","20775","21110","21194","18363","20166","21693","20834","20727","22957","25878","25469","25567","24769","22322"
